_id,pub_date,headline,section_name,word_count,snippet
nyt://article/a5a09550-b48c-594e-803c-64529a710cbe,2023-04-30T23:59:58+0000,Virginia Beach Begins Cleanup After Severe Storm Damages Dozens of Homes,U.S.,376,The city declared a state of emergency after the S
nyt://article/fbfb4dbb-c15f-517b-a11d-fa059995a3db,2023-04-30T23:44:09+0000,Stephen Curry Scores 50 Points to Knock Off Kings in Game 7,Sports,1130,"Curry’s 50 points were the most ever in a Game 7, "
nyt://article/e3104cbc-5a00-5a8b-89b7-e9c376032b78,2023-04-30T23:10:03+0000,Knicks Absorb First Blow in Throwback Battle With Miami Heat,Sports,1003,Losing Game 1 at home was a setback for the Knicks
nyt://article/bee605be-63d7-5561-a673-58032e71ee41,2023-04-30T22:36:23+0000,Gov. Hochul Severs Ties With Top Political Adviser in Face of Backlash,New York,761,"Gov. Kathy Hochul and the adviser, Adam Sullivan, "
nyt://article/605aa5ae-5723-57a6-bbed-804bcee3163e,2023-04-30T22:11:34+0000,‘Zero Leads’: Dragnet Continues for Man Sought in Fatal Shooting of 5 in Texas,U.S.,868,As survivors and the community came together at a 
nyt://article/70711b9b-6a85-5e3f-8e4c-c30b8b4b32b1,2023-04-30T22:08:19+0000,"Dr. LeRoy Carhart, Fierce Defender of Abortion Rights, Dies at 81",Obituaries,1023,Undeterred by arson at his home and by the murder 
nyt://article/47e1aef7-9c63-5020-844e-e767832841e8,2023-04-30T22:00:05+0000,Starts on All Fours,Crosswords & Games,928,"It’s a wild world in today’s crossword, by Alina A"
nyt://article/23e194d9-7682-5fb1-8377-937883c0083e,2023-04-30T20:59:07+0000,Your Monday Briefing: Inside Ukraine’s Trenches,Briefing,1091,"Also, the potential for civil war in Darfur."
nyt://article/6f95b77a-a8f0-5d30-a0e8-a68f4bf3247c,2023-04-30T20:52:53+0000,Pope Reveals He’s Working on Secret ‘Mission’ of Peace in Ukraine,World,1231,Francis said he was doing “all that is humanly pos
nyt://article/66ec0afe-4a5d-5a7d-b9ff-730c6fd7cf1f,2023-04-30T20:42:23+0000,"Freya, the Walrus Killed by Norwegian Officials, Is Immortalized as a Sculpture",World,489,The bronze sculpture depicts the walrus on her sid
